title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
QA инженер,,Астана,ЧК TargetAI Limited,13-11-2025 15:57:04,3+ лет опыта в QA. Глубокое понимание процессов тестирования и жизненного цикла ПО. Опыт тестирования сложных распределённых систем (желательно...,"Формирование и развитие процессов тестирования (manual + automation). Разработка и поддержка тестовой документации (чек-листы, тест-кейсы, баг репорты). ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127646385
QA Engineer,,Алматы,Globerce Inc.,10-11-2025 15:52:09,Опыт работы в коммерческой разработке или проектной команде. Опыт тестирования систем с микросервисной архитектурой. Знание и опыт работы с Camunda. ,"Тестирование нового функционала и доработок. Проведение регрессионного тестирования. Разработка, обновление и структурирование тест-кейсов. Тестирование интеграционных сервисов и взаимодействий между...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127485134
Manual QA (Tester),,Алматы,РЕДПРИНТ ТМ «Nidge»,20-11-2025 14:24:16,"Опыт работы <highlighttext>QA</highlighttext> <highlighttext>Engineer</highlighttext> от 1 года. Понимание жизненного цикла разработки ПО и методологий тестирования (Agile, Scrum, Kanban). ","Разработка и поддержка тестовой документации (test cases, check lists, bug reports). Проведение функционального, регрессионного, интеграционного и UI-тестирования. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127311956
QA-инженер,,Алматы,Kcell,12-11-2025 09:40:54,Опыт ручного тестирования API используя инструменты Postman/Insomnia/Swagger и т.д.. Опыт работы в продуктовой команде. Понимание процессов разработки...,"Проведение ручного функционального, smoke и регрессионного тестирования WEB и мобильных приложений. Создание, актуализация и сопровождение тестовой документации (чек-листы, тест...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127562371
Manual QA Engineer (Middle / Pre-Middle) - CNP Processing (E-Commerce),,Алматы,CNP Processing GmbH,19-11-2025 15:55:37,Знание теории тестирования и опыт применения техник тест-дизайна. Опыт веб-тестирования и тестирования бэкенда. Опыт работы с SOAP-сервисами. ,"Проведение функционального, регрессионного и исследовательского тестирования SOAP и REST сервисов. Выполнение интеграционного и API тестирования. Тестирование пользовательского интерфейса (UI). ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127646212
Junior QA/QC Engineer (Game Tester),,Алматы,COREPUNK GLOBAL,20-11-2025 18:47:19,Basic understanding of QA processes and test design. Confident PC and Windows user; familiarity with office tools (Google Suite / MS...,"Execute test cases, feature checks, smoke tests. Compile QA reports based on test results. Reproduce, document, and prioritize bugs in...","{'id': 'remote', 'name': 'Удаленная работа'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/127160233
Middle QA Engineer,1500000 KZT,Айтеке-Би,Yes Money LLC,11-11-2025 19:03:31,"2+ year of experience in software testing. Understanding of QA principles, testing methodologies, and SDLC. Experience working in Agile...",Highload Development — development of highly loaded services and systems. CRM System Development — development of a number of services to ensure...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127549563
Middle QA Engineer,,Алматы,Мобайл Телеком-Сервис (Объединенная Компания Tele2/Altel),20-11-2025 14:01:38,"Осуществление тестирования web, мобильных приложений. Опыт работы с системами управления тестирования. Применение техник тест дизайна и ведение тестовой документации. ","Тестировать web, мобильные приложения, систем биллинга. Знать и применять различные методологий тестирования. Анализировать требования и разрабатывать тестовые сценарии.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126574222
Middle QA Automation Engineer | KZ,1400 - 2400 USD,Алматы,Zeon (ОсОО Goog),27-10-2025 18:14:01,"Опыт работы в QA от 2 лет, уверенные навыки в Python (Pytest). Опыт написания автотестов и работы с CI/CD. ","Разрабатывать и поддерживать автотесты (Selenium, Appium, Pytest). Участвовать в построении и оптимизации CI/CD-пайплайнов (GitLab, Jenkins, GitHub Actions). ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127027244
QA Engineer,,Алматы,«Aviata» (Freedom Travel),20-11-2025 09:57:58,Опыт работы в QA от 3 лет. Понимание процессов разработки и тестирования ПО. Опыт тестирования API и клиент-серверных приложений. ,"Проводить полный цикл ручного тестирования веб- и мобильных приложений. Разрабатывать и поддерживать тестовую документацию (тест-кейсы, чек-листы, баг-репорты). ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127506419
QA Engineer (manual / automation),100000 - 100000 RUR,Алматы,Аркадия,13-11-2025 10:03:55,"Опыта тестирования веб-приложений — от 3 лет. Опыта работы с БД, SQL-запросами (PostgreSQL). Знания методов обеспечения качества и техники...",,"{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127620596
QA Engineer (middle),,Астана,ЕТС ИНТЕРНЕЙШНЛ,12-11-2025 16:21:35,"Опыт тестирования web-приложений. Опыт тестирования REST API. Понимание принципов и методологий разработки ПО (SCRUM, Kanban). Понимание основных принципов проектирования...","Cоздание и управление жизненным циклом тест-кейсов и чек-листов (cucumber). Cоздание тест-планов. Ручное интеграционное, системное тестирование продукта (web...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127603003
QA engineer (Middle),,Алматы,Сентрас Капитал,05-11-2025 13:38:34,"Умение анализировать логи, JSON/XML, работать с Postman/Swagger/Insomnia. Опыт работы с системами баг-трекинга (JIRA, YouTrack) и тест...","Глубокое понимание жизненного цикла разработки и тестирования (SDLC, STLC), моделей разработки (Agile, Scrum, Kanban). Уверенные навыки написания и поддержки тестовой...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127308515
Middle QA-engineer / Специалист по тестированию,1300 - 1500 USD,Астана,Buzz,31-10-2025 14:52:05,"Опыт работы в тестировании веб-приложений от 2 лет. Глубокие знания методов, видов и теории ручного тестирования. Понимание процессов клиент...","Функциональное и нефункциональное тестирование веб-интерфейсов (Frontend, Backend). Тестирование интеграций со сторонними сервисами (например, Gmail, HubSpot и др.). ","{'id': 'remote', 'name': 'Удаленная работа'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/124950438
QA Engineer (тестировщик ПО),,Алматы,"ALSECO, АО",11-11-2025 09:34:02,"Опыт работы с основными методами тестирования (функциональное, регрессионное, нагрузочное тестирование). Опыт ручного тестирования веб- и мобильных приложений. Понимание процессов разработки...","Проведение ручного и автоматизированного тестирования для выявления багов и ошибок в ПО. Составление и поддержка тестовой документации: тест-кейсов, чек...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126893274
QA-инженер,,Алматы,Koronatech,29-10-2025 10:35:26,Что необходимо знать/уметь:,"Развивать и обеспечивать качество и безопасность сервисов. Участвовать в проектировании и создании новых сервисов. Планировать работу по задачам, формулировать критерии...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127094391
Manual QA инженер (ОФИС!!!!),350000 - 750000 KZT,Астана,Adamant Systems,20-11-2025 12:54:49,"Опыт ручного тестирования от 2 лет. Уверенное тестирование веб-приложений и API-интеграций. Быстрое погружение в постановки задач, понимание бизнес...",Ручное тестирование веб-приложений и API. Анализ требований и участие в обсуждении задач. Создание и ведение задач по багам и...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127143106
Middle QA инженер,800000 KZT,Алматы,IT Space Apps,10-11-2025 17:33:29,"Уверенное владение одним или несколькими языками автоматизации: Python, Java, JavaScript или другим, используемым на проекте. Понимание принципов ООП и навыки...",Написание автотестов для регрессионного и функционального тестирования. Участие в настройке и поддержке CI/CD пайплайнов. Создание smoke-тестов для проверки...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127491217
Тестировщик программного обеспечения (QA Engineer),,Алматы,Мук-Компьютерс,17-11-2025 21:20:55,"Высшее образование. Опыт работы от 3-х лет. Знание языков: русский – свободное владение, английский – средний. Опыт работы в QA Automation...","Тестирование веб-интерфейса платформы. Выполнение manual тестирования: проверка функциональности, UI/UX, интеграций, API, регрессионное тестирование. Разработка и поддержка автоматизированных тестов...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127246401
Game QA Engineer (Junior/ Middle),,Алматы,MYTONA KZ,19-11-2025 16:31:23,Опыт ручного тестирования мобильных приложений (iOS/Android). Опыт создания и ведения тестовой документации. Понимание клиент-серверной архитектуры. Внимательность к деталям...,"Проведение ручного тестирования нового функционала, игровых событий и обновлений. Создание и поддержка тестовой документации (тест-кейсы, чек-листы). ","{'id': 'remote', 'name': 'Удаленная работа'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127487975
QA engineer,,Алматы,Kaspi.kz,29-10-2025 08:55:00,Опыт работы в тестировании от 1 года. Понимание жизненного цикла разработки ПО и принципов тестирования. Владение техниками тест-дизайна. ,"Проводить функциональное, интеграционное и регрессионное тестирование. Проверять сохранение и консистентность данных БД. Тестировать API. Анализировать логи и взаимодействовать с разработчиками...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127088296
QA Engineer,,Алматы,Home Credit Bank,06-11-2025 10:09:59,"Опыт в тестировании - от 2-х лет. Практический опыт работы с инструментами: Postman, снифферы (используем Proxyman), Firebase, Android Studio, Xcode...","Проведение ручного тестирования мобильного приложения (iOS и Android). Тестирование внешних и внутренних интеграций. Составление, поддержка и актуализация тест-кейсов в...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127350607
Инженер QA Отдела продакт менеджмента,,Алматы,VILED FASHION (ВИЛЕД ФЕШН),28-10-2025 13:32:51,Опыт ручного тестирования от 2 лет. Понимание жизненного цикла ПО и процессов тестирования Уверенная работа с Postman. Swagger и снифферами...,"Ручное тестирование веб- и мобильного приложения (Android / iOS). Проверка интеграций с внешними сервисами Проведение; функционального, регрессионного, смок- и повторного тестирования. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127060712
Fullstack Web QA,850000 - 1450000 KZT,Алматы,Kolesa (АО Колеса),18-11-2025 15:17:44,Уверенно знаешь теорию тестирования и умеешь применять её на практике. Владеешь техниками тест-дизайна. Опыт тестирования web приложений (Backend/API...,"Тестировать backend, frontend и интеграции (ручное + автоматизированное тестирование). Поддерживать тест-планы, чек-листы, тест-кейсы и документацию. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/122804074
Senior QA Engineer,5000 - 6000 USD,Алматы,COMTEK Inc.,20-11-2025 16:55:00,"Используйте свое понимание системного, регрессионного, интеграционного, эксплуатационного и пользовательского тестирования. - 8 лет или более опыта тестирования программного обеспечения с использованием...","Компетентен в выполнении всех заданий по тестированию, управлению проектами и обеспечению качества без непосредственного руководства; обычно поручаются более сложные аспекты...","{'id': 'remote', 'name': 'Удаленная работа'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/127018404
QA middle,,Алматы,red_mad_robot,27-10-2025 18:17:20,"Знание методологий тестирования: черного ящика, белого ящика, регрессионного и интеграционного. - Использовать инструменты баг-трекинга и управления проектами, такими как JIRA...",Red_mad_robot — технологическая компания с экспертизой в запуске цифровых продуктов и новых бизнесов. Включает red_mad_robot AI — центр исследований и разработки ИИ...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127027321
QA Automation Engineer (Python),,Алматы,Agile Soft,30-10-2025 19:45:52,"Глубокие знания Kafka и gRPC для детального анализа дефектов — обязательно. Уверенные навыки тестирования распределённой микросервисной архитектуры, механизмов авторизации, асинхронного взаимодействия...",Тестирование backend-приложений. Настройка фреймворка для автоматизированного тестирования. Написание автотестов с нуля.,"{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127160699
Middle QA Engineer (Backend / Automation),,Астана,"Beeline, ТМ",12-11-2025 13:15:26,"Обязательные: Опыт тестирования от 2 лет, с фокусом на backend. Отличное знание базовой теории тестирования. Понимание микросервисной архитектуры и принципов...","Планирование и проведение тестирования backend-сервисов, включая микросервисы. Разработка и выполнение автотестов на любом языке программирования. Анализ сетевых протоколов (TCP...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127587559
QA Engineer,350000 - 800000 KZT,Алматы,Jet Finance (ТОО Mogo Kazakhstan),20-11-2025 12:27:45,Более 2–3 лет опыта работы в QA. Желателен опыт тестирования финансовых продуктов.,"Тестирование web-приложений: проверка UI/UX, функциональности, интеграций. Понимание клиент-серверной архитектуры: HTTP-запросы, cookies, headers, взаимодействие с API. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127301440
"Lead QA/Automation Engineer, г.Алматы (офис)",,Алматы,Центр корпоративных технологий,20-11-2025 09:59:12,Опыт работы в роли Automation QA / SDET от 3 лет. Уверенное владение одним из языков программирования: Java / Python / JavaScript (предпочтительно...,"Разработка и внедрение стратегии автоматизации тестирования (API, UI, интеграционное, нагрузочное). Проектирование и разработка фреймворка автоматизации тестирования с нуля для всего...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127902986
Mobile QA Engineer,750000 - 1300000 KZT,Алматы,Kolesa (АО Колеса),30-10-2025 11:59:50,"Опыт тестирования мобильных приложений (iOS и Android) от 1 года. Знание и практическое применение техник тест-дизайна, тест-анализа. ","Тестировать мобильные приложения для iOS и Android. Делать релизы приложений и контролировать стабильность обновлений. Выполнять тестовую документацию: тест-кейсы, чек...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127140100
Тестировщик / QA engineer,350000 KZT,Астана,ЦВЕТЫ ОПТОМ,18-11-2025 15:55:56,"Понимание жизненного цикла дефекта, приоритетов/серьёзности. Базовые техники проектирования тестов: классы эквивалентности, граничные значения, комбинаторика. Опыт тестирования мобильных приложений на...","Мобильное приложение (iOS/Android) + backend-сервисы. Работа в кросс-функциональной команде: продакт, дизайнер, iOS/Android, backend. Чем предстоит заниматься. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126830529
QA engineer,,Алматы,OpenHC,30-10-2025 17:18:51,Solid understanding of test design principles and their practical application. Knowledge of software testing and development methodologies. Experience testing web...,"Test web, API, and mobile applications (iOS/Android). Participate in task planning, requirements analysis, and backlog grooming. Write and maintain...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127157862
QA Engineer,,Алматы,Моторная компания Астана-Моторс,28-10-2025 10:07:59,"Разработка и структура программного обеспечения, клиент-серверная архитектура. Операционные системы: Windows, Linux, iOS, Android (уверенный пользователь). Язык запросов SQL, скриптовые...",Участие в разработке и реализации стратегических инициатив по улучшению процессов разработки и QA. Сопровождение и контроль тестирования новых функциональностей в...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126511981
QA Engineer,,Астана,IT Холдинг Kazdream,17-11-2025 08:21:10,"Опыт ручного тестирования веб-приложений от 2 лет. Глубокое понимание клиент-серверной архитектуры, REST API, форматов данных (JSON). ","Разрабатывать и выполнять тест-кейсы для наших веб-приложений. Тестировать API и интеграции (REST, SOAP) с помощью Postman, SoapUI. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126735206
QA Engineer (manual / automation),100000 - 100000 RUR,Астана,Software Country (ТОО Балхаш Системс),07-11-2025 17:53:42,Опыта тестирования веб-приложений — от 2 лет. Опыта работы с БД. Знания методов обеспечения качества и техники тестирования больших приложений. ,,"{'id': 'remote', 'name': 'Удаленная работа'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127421064
Mobile-Backend QA Engineer (Automation),1800 - 2400 USD,Алматы,"Small, ТМ (Скиф Трейд, ТОО)",13-11-2025 13:13:50,"5+ лет в QA, 3+ года в автоматизации мобильных приложений. Глубокие знания Appium/Detox, TypeScript/JavaScript. ","Автоматизация тестирования React Native/Java приложений (Appium/Detox, TypeScript). API-тестирование (REST API, микросервисы на Go). Тестирование интеграции со сканерами...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127632373
Junior QA Engineer,,Алматы,Playrix,24-10-2025 13:14:41,Ищем заряженного человека с горящими глазами и готового быстро расти. Опыт ручного тестирования мобильных приложений от 6 месяцев. Техническое образование. ,"Ручное тестирование новых фич игры на платформах iOS, Android, Amazon, MacOS, UWP. Тестирование всего проекта в рамках предсабмитных и сабмитных...","{'id': 'remote', 'name': 'Удаленная работа'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126912379
QA Engineer Middle (тестировщик),,Алматы,Jana Post,19-11-2025 10:12:50,"Опыт работы в тестировании от 2 лет на позиции Мiddle. Глубокие знания методологий тестирования, видов тестирования, техник тест-дизайна. ","Анализ продукта для интеграции автотеста. Менторство junior QA. Разработка, поддержка и выполнение тест-кейсов, тест-планов и тестовой документации. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127092863
"QA Инженер \ Тестировщик (Middle, Middle+, Senior)",400000 - 800000 KZT,Алматы,ProsperPay,11-11-2025 14:35:37,"3–5 лет опыта работы в QA, включая коммерческий опыт на веб-проектах. Понимание микросервисной архитектуры, интеграций, версионирования API. ","Проводить тестирование веб- и мобильных приложений (ручное, регрессионное, интеграционное, нагрузочное). Работать с API (Postman/Swagger): проверять статус-коды, headers, авторизацию...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127532804
Senior QA Engineer (for External Talent Pool),,Алматы,Plexy Platform Kazakhstan,18-11-2025 08:15:29,"Опыт работы на позиции <highlighttext>QA</highlighttext> <highlighttext>инженера</highlighttext> от 4 лет, с подтверждёнными навыками в разработке и применении ручных и автоматизированных сценариев...","Проводить ручное и автоматизированное тестирование, документировать отслеживать выявленные дефекты. Работать над интеграцией и обеспечивать быструю обработку найденных дефектов. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127558084
QA-инженер,,Алматы,Народный банк Казахстана,03-11-2025 10:19:36,"Опыт работы от 3 до 5 лет, включая руководящие роли в Agile-проектах. Опыт написания тестовых сценариев и тест-кейсов. ","Анализ метрик тестирования (дефектность, покрытие тестами) для улучшения продукта. - Наставничество для <highlighttext>тестировщиков</highlighttext> и содействие в повышении их квалификации в Agile...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/124861175
Middle QA engineer,,Астана,IT Холдинг Kazdream,29-10-2025 09:08:14,"Понимание процессов разработки и тестирования, знание жизненного цикла приложений. Общее представление о Web-технологиях, понимание для чего и где используется...",Формирование и актуализация тест-кейсов и чек-листов. Участие на всех этапах разработки ПО в части улучшения качества. Мануальное тестирование.,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126728126
Senior QA Automation Engineer,,Алматы,"Beeline, ТМ",29-10-2025 13:35:25,Саморазвитие и желание развиваться в направлении автоматизации тестирования. Инновационность и креативность. Опыт работы от 3 - 4 лет. Навыки: Опыт тестирования...,Что используем в подходе к автоматизации? - выдерживаем пирамиду автоматизации тестирования (разные типы тестов). - интегрируем тесты с CI ( в пайплайны ). - ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127105075
Middle/Senior QA automation engineer,,Алматы,INVESTBANQ TECH LAB LIMITED,10-11-2025 07:55:23,"3 + years of experience in QA automation, with a strong focus on backend/API testing. Solid JavaScript/TypeScript skills...","Build and maintain scalable test automation suites for API and UI (Playwright or equivalent). Write end-to-end, integration, and...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127438901
QA Senior,,Алматы,red_mad_robot,27-10-2025 18:16:51,"Знание методологий тестирования: черного ящика, белого ящика, регрессионного и интеграционного. - Использовать инструменты баг-трекинга и управления проектами, такими как JIRA...",Red_mad_robot — технологическая компания с экспертизой в запуске цифровых продуктов и новых бизнесов. Включает red_mad_robot AI — центр исследований и разработки ИИ...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127027312
Junior QA Engineer,,Астана,Playrix,24-10-2025 13:14:18,Ищем заряженного человека с горящими глазами и готового быстро расти. Коммерческий опыт ручного тестирования от 6 месяцев. Высшее образование. ,"Ручное тестирование новых фич игры на платформах iOS, Android, Amazon, MacOS, UWP. Тестирование всего проекта в рамках предсабмитных и сабмитных...","{'id': 'remote', 'name': 'Удаленная работа'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126912371
